track_id;track_name;duration_ms;album_name;album_type;artist_name;track_popularity;explicit;artist_genres;album_genres;acousticness;danceability;energy;instrumentalness;key;liveness;loudness;mode;speechness;tempo;time_signature;valence;played_at;date;datetime
1PXsUXSM3LF2XNSkmIldPb;Little Black Submarines;251267;El Camino;album;The Black Keys;65;FALSE;alternative rock, blues-rock, garage rock, indie rock, modern rock, punk blues, rock;;0.161000;0.365;0.466;0.000007;2;0.1060;-7.514;1;0.0418;95.163;4;0.487;2018-06-29T00:18:00.814Z;29/06/18;00:18:00
58LDBCFIHWmFnRGJQPTXvb;Kickapoo;254347;The Pick Of Destiny;album;Tenacious D;45;TRUE;alternative metal, comedy rock, comic, post-grunge, rock;;0.097700;0.501;0.795;0.001080;0;0.5010;-4.655;1;0.0918;130.23;4;0.580;2018-06-29T00:21:49.650Z;29/06/18;00:21:49
0y2TY1TrA87RBDXqFYE8jP;Dude (I Totally Miss You);173640;The Pick Of Destiny;album;Tenacious D;37;TRUE;alternative metal, comedy rock, comic, post-grunge, rock;;0.182000;0.634;0.471;0.000107;4;0.3130;-7.178;0;0.0376;129.877;3;0.394;2018-06-29T00:22:58.917Z;29/06/18;00:22:58
6t5FgKMCi40DKB1UBpYNpf;Lo sai che;191667;Grind Muzik 4;album;Duke Montana;26;FALSE;italian hip hop;;0.036400;0.658;0.769;0.000000;5;0.2280;-5.06;0;0.0527;132.062;4;0.435;2018-07-03T00:26:43.609Z;03/07/18;00:26:43
0H9Z0Vn3IB4C1CBolkNI7E;Haterz;197930;Haterz;single;Michelle Lily;3;FALSE;;;0.005640;0.710;0.795;0.000000;5;0.1330;-6.135;0;0.0734;131.026;4;0.639;2018-07-03T00:27:47.943Z;03/07/18;00:27:47
0y2TY1TrA87RBDXqFYE8jP;Dude (I Totally Miss You);173640;The Pick Of Destiny;album;Tenacious D;37;TRUE;alternative metal, comedy rock, comic, post-grunge, rock;;0.182000;0.634;0.471;0.000107;4;0.3130;-7.178;0;0.0376;129.877;3;0.394;2018-06-29T00:28:32.520Z;29/06/18;00:28:32
4aai1PoVGPcspMhmzOzpZN;Surround Me;232120;Surround Me - EP;album;LÃ‰ON;66;FALSE;indie poptimism, neo mellow, pop;;0.344000;0.530;0.534;0.000000;5;0.0810;-7.87;1;0.1950;178.091;4;0.401;2018-07-03T00:28:44.630Z;03/07/18;00:28:44
0y2TY1TrA87RBDXqFYE8jP;Dude (I Totally Miss You);173640;The Pick Of Destiny;album;Tenacious D;37;TRUE;alternative metal, comedy rock, comic, post-grunge, rock;;0.182000;0.634;0.471;0.000107;4;0.3130;-7.178;0;0.0376;129.877;3;0.394;2018-06-29T00:31:44.586Z;29/06/18;00:31:44
3booZW0BKQ8En18KSxsZPr;The Fad;217653;Vena Sera;album;Chevelle;45;FALSE;alternative metal, nu metal, post-grunge, rap metal, rap rock, rock;;0.000025;0.447;0.917;0.037400;5;0.0809;-4.332;1;0.0873;100.692;4;0.340;2018-07-03T00:31:50.254Z;03/07/18;00:31:50
0Wnp7qrFfqRJ6Gd5hJaqgf;Let It All Out;190292;Blood Stained Revolution;album;Saving Abel;27;FALSE;alternative metal, nu metal, post-grunge, rap metal, rap rock;;0.015800;0.511;0.901;0.000000;5;0.0558;-4.105;1;0.0538;170.113;4;0.696;2018-07-03T00:33:20.258Z;03/07/18;00:33:20
2CO3H6EcL9mHOq0yXd2Bqb;Where Do I Begin;214907;Where Do I Begin;single;Sick Puppies;42;FALSE;alternative metal, nu metal, pop punk, post-grunge, rap metal, rap rock;;0.003400;0.545;0.931;0.000003;5;0.0980;-4.852;1;0.0452;134.023;4;0.395;2018-07-03T00:34:02.773Z;03/07/18;00:34:02
2BymaV6XvvOq1MwFRBDzgB;Break In-City (Storm the Gate!);82160;The Pick Of Destiny;album;Tenacious D;31;TRUE;alternative metal, comedy rock, comic, post-grunge, rock;;0.001970;0.509;0.986;0.000011;11;0.1150;-2.355;0;0.2100;172.863;4;0.541;2018-06-29T00:34:37.158Z;29/06/18;00:34:37
3n1fkMMgCM1AR7WijyLwk5;Signs;268893;Weathered;album;Creed;35;FALSE;alternative metal, alternative rock, nu metal, pop rock, post-grunge, rap rock, rock;;0.000270;0.233;0.891;0.000002;5;0.3040;-5.256;1;0.0815;84.613;4;0.446;2018-07-03T00:35:18.611Z;03/07/18;00:35:18
6pmPg09SphO2ajw62pfqQd;Car Chase City;162307;The Pick Of Destiny;album;Tenacious D;30;TRUE;alternative metal, comedy rock, comic, post-grunge, rock;;0.000956;0.609;0.978;0.000032;2;0.1340;-3.591;1;0.1370;119.812;4;0.444;2018-06-29T00:35:59.342Z;29/06/18;00:35:59
0gmbgwZ8iqyMPmXefof8Yf;How You Remind Me;223840;Silver Side Up;album;Nickelback;77;FALSE;alternative metal, canadian pop, canadian rock, nu metal, post-grunge;;0.001350;0.446;0.764;0.000000;10;0.0990;-5.042;1;0.0330;172.094;4;0.543;2018-07-03T00:37:40.227Z;03/07/18;00:37:40
0bH15GD4CtxWvZW51EmDeD;Beelzeboss (The Final Showdown);335800;The Pick Of Destiny;album;Tenacious D;43;TRUE;alternative metal, comedy rock, comic, post-grunge, rock;;0.014000;0.414;0.887;0.000001;2;0.1610;-3.743;1;0.2910;155.346;4;0.414;2018-06-29T00:38:41.640Z;29/06/18;00:38:41
1XZrMIHtCVJPqK29Mzm44G;Bottom of a Bottle;221827;Shapeshifter;album;Smile Empty Soul;65;FALSE;alternative metal, nu metal, post-grunge, rap metal, rap rock;;0.002360;0.537;0.847;0.000001;6;0.0844;-5.208;1;0.0383;106.055;4;0.459;2018-07-03T00:41:33.273Z;03/07/18;00:41:33
3KoUTYSRCUgleIybRyoC8C;Roma - Bangkok;174667;Kiss Kiss Bang Bang;album;Baby K;61;FALSE;italian arena pop, italian hip hop;;0.052600;0.764;0.857;0.000000;11;0.8810;-6.156;0;0.1810;100.03;4;0.353;2018-07-03T00:42:43.441Z;03/07/18;00:42:43
1XZrMIHtCVJPqK29Mzm44G;Bottom of a Bottle;221827;Shapeshifter;album;Smile Empty Soul;65;FALSE;alternative metal, nu metal, post-grunge, rap metal, rap rock;;0.002360;0.537;0.847;0.000001;6;0.0844;-5.208;1;0.0383;106.055;4;0.459;2018-07-03T00:43:40.122Z;03/07/18;00:43:40
0oF3DPMcjAw9P4vlyp0reZ;Feed The Machine;302135;Feed the Machine;album;Nickelback;63;FALSE;alternative metal, canadian pop, canadian rock, nu metal, post-grunge;;0.000007;0.547;0.962;0.001670;5;0.4490;-4.268;1;0.1040;136.005;4;0.381;2018-07-03T00:45:20.043Z;03/07/18;00:45:20
0Bs2jpsoaFcwG34rJAS4gp;Untraveled Road;235689;Oxygen: Inhale;album;Thousand Foot Krutch;54;FALSE;alternative metal, canadian ccm, canadian metal, canadian rock, christian alternative rock, christian rock, nu metal, post-grunge, rap metal, rap rock;;0.000324;0.587;0.869;0.000002;11;0.0680;-5.918;1;0.0420;125.023;4;0.441;2018-07-03T00:46:08.707Z;03/07/18;00:46:08
0gmbgwZ8iqyMPmXefof8Yf;How You Remind Me;223840;Silver Side Up;album;Nickelback;77;FALSE;alternative metal, canadian pop, canadian rock, nu metal, post-grunge;;0.001350;0.446;0.764;0.000000;10;0.0990;-5.042;1;0.0330;172.094;4;0.543;2018-07-03T00:47:25.091Z;03/07/18;00:47:25
42ZVk59gT4tMlrZmd8Ijxf;Indestructible;278027;Indestructible;album;Disturbed;70;FALSE;alternative metal, nu metal, post-grunge, rap metal;;0.000209;0.429;0.966;0.124000;8;0.3710;-4.605;1;0.0733;179.956;4;0.525;2018-07-03T00:47:57.347Z;03/07/18;00:47:57
1FjHxl8B28sXj7eVfxdST4;Better With You;196018;Better With You;single;Michl;69;FALSE;electropop, indie poptimism, indie r&b, vapor soul;;0.265000;0.784;0.437;0.000070;5;0.1260;-7.868;1;0.0509;90.003;4;0.470;2018-07-03T00:48:52.655Z;03/07/18;00:48:52
