track_id;acousticness;danceability;energy;instrumentalness;key;liveness;loudness;mode;speechness;tempo;time_signature;valence
6Ak5cDns140ycMhbxJdORc;0.996;0.566;0.00197;0.962;7;0.108;-20.164;1;0.0839;69.661;3;0.317
4kiHtU5sA7RRw1baYxOHOi;8.87e-05;0.375;0.965;0.0228;1;0.385;-4.017;0;0.0754;171.668;4;0.564
2w0uLANc4fBabIcfUr3q5r;0.0208;0.813;0.748;1.18e-05;11;0.379;-5.223;1;0.167;117.934;4;0.419
4sZtji3yUSwoDS0aYam4Mn;0.318;0.518;0.791;0.000376;2;0.118;-5.074;1;0.0671;111.065;4;0.573
0N3GwdrDtIjmzebv0JKBYY;0.978;0.368;0.0213;0.975;7;0.135;-19.37;1;0.0489;115.748;4;0.209
1MTDOKTkkijRtv8JW12Iln;0.725;0.696;0.714;2.02e-05;2;0.158;-5.506;1;0.0354;99.979;4;0.721
3V1H6liHwCDcWeqdPJabOM;0.644;0.561;0.337;8.79e-05;8;0.67;-9.272;1;0.0284;109.373;4;0.273
4hv4IqAhC2X7ttenzGKiwP;0.000395;0.825;0.639;0.03;8;0.0819;-4.327;1;0.0494;128.005;4;0.349
7JZo7Alh3CNc5JLTtEYGDf;0.0225;0.845;0.896;0.0029;7;0.165;-5.53;1;0.133;120.507;4;0.929
4O0fZnRg1FiRNPBZiAOLwB;0.000664;0.781;0.81;0.705;7;0.0684;-6.405;1;0.0471;126.002;4;0.814
1R1j6Z3HfBvkLnw1uTJJp0;0.233;0.823;0.75;0;8;0.336;-5.392;1;0.202;111.994;4;0.531
5x0QfQ7TwHKaTCgvN6owx5;0.0997;0.669;0.834;0;5;0.253;-3.694;1;0.0262;104.968;4;0.561
2pYnpQHChbpwxla0gYcHhB;0.000857;0.459;0.946;0;11;0.151;-3.977;0;0.072;103.034;4;0.241
4UhKOgodBlQDy8qPGPdKB0;0.0195;0.796;0.818;0.392;7;0.135;-6.821;1;0.0501;125.932;4;0.773
7Eg34ZsvLMYYDVaq6R3v1g;0.000277;0.475;0.944;9.73e-06;1;0.183;-2.497;0;0.0571;135.997;4;0.44
