track_id;acousticness;danceability;energy;instrumentalness;key;liveness;loudness;mode;speechness;tempo;time_signature;valence
1bVhldfIWE7ye4pHi1pzhY;0.638;0.714;0.937;0.0371;8;0.201;-4.54;0;0.163;135.017;4;0.646
6Ak5cDns140ycMhbxJdORc;0.996;0.566;0.00197;0.962;7;0.108;-20.164;1;0.0839;69.661;3;0.317
4iOm49Ge1u4rLmTfuo6jUt;0.0707;0.674;0.864;0.000476;2;0.0843;-3.361;1;0.0312;126.074;4;0.614
1QQbFWrqS8v8LeHbhyHDcN;0.0352;0.644;0.826;0;4;0.333;-5.215;0;0.119;95.975;4;0.614
4IhPNd59XJrSWTaP2sbLQu;0.0558;0.607;0.902;0.0592;6;0.111;-8.847;1;0.0324;135.026;4;0.718
0RT32k5IOVEyKE5UlF3Wm8;0.0122;0.752;0.93;0.0311;6;0.641;-5.285;1;0.065;125.021;4;0.825
1gOerGT1zHIak1iczMJZkQ;0.00276;0.651;0.831;0;8;0.0777;-5.996;1;0.193;157.104;4;0.468
4YESGEY0h6z3dOGH4kMlcv;0.00569;0.748;0.825;0.282;2;0.337;-5.745;1;0.0698;122.997;4;0.0722
7amku1LgKC4YOqVdn1UEzV;0.566;0.752;0.681;1.23e-06;8;0.126;-5.703;0;0.243;131.949;4;0.609
4dfFRLSZQukQZrIwPxPIWi;0.0898;0.624;0.706;0;4;0.201;-4.739;0;0.028;106.014;4;0.563
2WHNJjZf3LdpeIzg7JtSGc;0.108;0.577;0.503;0;2;0.102;-10.489;1;0.356;93.003;4;0.324
4yV3cDWByLZHfrhR0fYjPM;0.741;0.42;0.453;4.49e-05;2;0.109;-11.037;1;0.23;189.521;4;0.317
3a6enSby0Rw9mrRPKDvqEL;0.994;0.538;0.0148;0.929;0;0.102;-21.967;1;0.0856;70.826;3;0.328
5GI6KwVFmBMICTNPaUbVVU;0.105;0.423;0.678;0;2;0.104;-8.286;1;0.377;154.333;4;0.305
3WeSUDfXfzHqiUf0JBuB2r;0.00806;0.656;0.902;0.000317;6;0.291;-4.156;1;0.0312;128.004;4;0.924
4veR7bpBY7xYMG5BKZwWu1;0.142;0.739;0.879;0.00428;2;0.531;-4.014;1;0.149;124.928;4;0.383
0anXcmUbzdJ6hecdoa6i5F;0.991;0.428;0.0322;0.903;0;0.103;-24.267;1;0.0452;63.694;3;0.213
5LFZ84CFyBBLE7qJGeMcKk;0.278;0.726;0.904;0.000186;8;0.0719;-6.325;0;0.0579;130.011;4;0.63
1RTN912IZfYypXTo6GoHDp;0.00498;0.717;0.946;0.0823;2;0.319;-3.64;0;0.0891;127.952;4;0.198
2TOQzMaEqVVhdeheBVLOMm;0.994;0.565;0.0843;0.947;5;0.12;-24.145;1;0.0448;86.022;3;0.44
59lVtNbgHCDSqLJCMSWv3w;0.0909;0.75;0.792;0;6;0.108;-7.325;1;0.082;108.001;4;0.502
6IVbnPvWxIfWfpxqN1ylaV;0.0141;0.627;0.716;0;6;0.107;-5.11;0;0.0466;107.936;4;0.387
49rPkSLCjQbI2BxJ9Bxt2u;0.123;0.708;0.773;3.35e-05;0;0.165;-4.905;1;0.0292;128.008;4;0.444
