track_id;acousticness;danceability;energy;instrumentalness;key;liveness;loudness;mode;speechness;tempo;time_signature;valence
3nzM0p1iATY47bmotLI4lh;0.0135;0.61;0.829;0;7;0.109;-5.965;1;0.272;110.95;4;0.447
4YNoyqzpnVs2VYKPFK3OAh;0.000554;0.481;0.764;1.21e-06;8;0.0681;-4.678;1;0.0647;152.037;4;0.503
3917fpHnBR2CwwymuIjuxa;0.176;0.675;0.737;0;7;0.299;-6.259;1;0.071;82.957;4;0.607
1NA2NvAgCB4EfcBC8OHfuj;0.0339;0.394;0.855;0.0132;2;0.243;-4.204;1;0.0554;175.902;4;0.316
3PbHle8KhJp6GuO1jLdEmQ;0.00607;0.494;0.697;7.79e-06;7;0.128;-5.473;1;0.025;95.951;4;0.336
40yFmXrjfkv51FEQ0ULf1N;0.036;0.603;0.835;5.52e-06;4;0.183;-6.339;1;0.0394;149.967;4;0.629
2bnExVoVh4IPZCeTbt7LYQ;0.000325;0.459;0.923;1.55e-06;2;0.326;-5.833;1;0.133;147.02;4;0.36
66WSiOp7VxXnEeuCMFYRTm;0.01;0.713;0.646;0;4;0.119;-6.362;0;0.0766;136.011;4;0.422
1eJRbQdRijmsoyVHlbyeXm;0.000231;0.449;0.91;1.93e-06;7;0.238;-5.525;1;0.0657;172.035;4;0.567
03VzAAMs5PrLM42XR7ijuc;0.000456;0.543;0.911;0.00882;7;0.489;-3.919;0;0.0327;112.947;4;0.486
5en63QU81VfRQIsoqBcfde;0.000401;0.475;0.872;0.0247;1;0.118;-2.673;1;0.0415;154.569;4;0.284
6DUpn1TfNm98hpV7H0qFxm;0.0014;0.467;0.791;0;7;0.0922;-6.237;1;0.0459;74.937;4;0.27
5pVzPpJk9llhW1XWC3821o;0.272;0.655;0.525;2.37e-05;8;0.219;-7.588;1;0.0827;100.009;4;0.584
0pDAUPXA5VN0PR0aYWcAZU;0.00152;0.463;0.821;0.00123;7;0.103;-6.051;1;0.0537;114.916;4;0.185
5TlemR1636iPYYuapQoubL;0.00544;0.653;0.764;0;8;0.0982;-6.332;0;0.0353;122.053;4;0.57
4SaQKYz3pLmMvSwRY2SxMd;0.973;0.153;0.0263;0.884;0;0.0935;-26.852;0;0.0367;135.71;3;0.038
19v5b0qbqfqIDuRO8wxsIY;0.000278;0.523;0.912;3.72e-06;7;0.0886;-5.133;1;0.0461;132.975;4;0.521
6oseOMyZR1Yb7mBMzCney7;0.0443;0.645;0.818;0;7;0.112;-4.954;1;0.037;89.991;4;0.291
44OxoDksTnkbNXW9OxiHgg;0.00248;0.469;0.792;0.0237;7;0.251;-5.358;1;0.0554;100.802;4;0.351
4qhJ5kEAhWKdaPZAZujBYC;0.218;0.656;0.486;1.46e-05;8;0.23;-7.249;1;0.0306;125.081;4;0.441
1aWjCUq4KU7wCdQ2AuGeB7;0.000506;0.41;0.888;0.0155;2;0.108;-4.966;1;0.0744;159.919;4;0.238
5LVPsOsDnVB5HmSAPFQCgd;0.0825;0.691;0.819;0;4;0.336;-5.7;0;0.244;96.08;4;0.635
4lMCA8ZLk8qLvJlWaufvcC;0.0012;0.454;0.956;0.159;8;0.0662;-3.74;1;0.168;165.03;4;0.368
3Fo2Jp9G6O7q2IeGd2YAcV;0.192;0.54;0.705;0;4;0.725;-6.309;1;0.0646;164.675;4;0.702
24eH7uuMmyxFnvs70rvDLq;0.822;0.167;0.224;0.914;7;0.115;-8.961;1;0.0339;159.553;4;0.0982
2UmFhrsfxND4YtsEeTk8Eu;0.243;0.429;0.587;0.00791;7;0.0984;-8.408;1;0.0462;125.908;4;0.202
51eXjX4VMXkE3Dxtx2n9as;0.0638;0.717;0.701;0;7;0.206;-6.562;1;0.132;93.978;4;0.582
2lWqP72DuD2Gt6SkkJd2Sq;3.38e-05;0.501;0.83;6.71e-06;7;0.0508;-5.0;1;0.0355;103.89;4;0.441
42ZVk59gT4tMlrZmd8Ijxf;0.000209;0.429;0.966;0.124;8;0.371;-4.605;1;0.0733;179.956;4;0.525
3pAWCNJ1cfWwaLfjCErBCQ;0.00283;0.474;0.76;0;8;0.0854;-6.286;1;0.0546;179.956;4;0.676
2sEZEhH1vR9BrPKfL8KJ6t;0.19;0.561;0.512;0;8;0.0879;-7.012;1;0.0403;129.576;4;0.357
7hvU59kLGbk7O9xXOdcYsi;0.00264;0.516;0.975;0.000464;1;0.366;-5.153;1;0.146;156.547;4;0.3
3YNbisxUYGwvlqlGYoa0fo;0.889;0.42;0.153;0.915;7;0.135;-9.334;1;0.0338;85.006;4;0.0641
4FGQwSKgEykxtBwb2px8ug;0.0201;0.566;0.848;0;7;0.216;-4.103;1;0.0376;117.02;4;0.268
44vRHkh6Fte3JCFg48xiI6;0.0484;0.73;0.741;0.0017;8;0.132;-6.764;0;0.196;119.996;4;0.439
3wSB8zkzo1YC2nsMV6aoo0;0.0832;0.673;0.714;0;4;0.325;-5.235;0;0.256;96.968;4;0.599
3VuwZNTCD0ZNIl3GSnreLC;0.0207;0.568;0.93;0.263;7;0.205;-5.571;1;0.0757;113.964;4;0.481
3PkraHjaBnq5WgVCuRTAjN;0.0157;0.617;0.84;0.000257;2;0.403;-5.3;1;0.0622;141.029;4;0.435
5I8oQkGK1ZFVYJzEv7VQVb;0.527;0.396;0.587;0.45;7;0.144;-8.746;1;0.0312;140.804;4;0.519
4kMz4yjTpkvkx6P4bky6Mp;0.00774;0.523;0.719;0.018;4;0.0957;-5.452;1;0.0586;126.899;4;0.402
3WbphvawbMZ8FyqDxYGdSQ;0.00457;0.496;0.765;0;7;0.104;-5.66;1;0.033;74.072;4;0.337
6RfDLynqmspMOKA57mXyQI;2.51e-06;0.338;0.887;0.00138;7;0.0616;-6.447;1;0.0424;97.018;4;0.561
0lN0m8YmfmbmG8OvDa5LKn;0.967;0.155;0.00441;0.97;0;0.0756;-37.628;0;0.0362;72.981;3;0.0365
1XTGyfJeMiZXrZ1W3NolcB;0.0125;0.575;0.857;0.00229;4;0.145;-3.961;1;0.155;117.413;4;0.623
74t8ZSV8l9ifqSVZGLyMTv;0.00886;0.483;0.946;0;4;0.153;-5.301;1;0.133;171.982;4;0.459
0g2ZUCsBn0QHBkpa1VpqBg;0.0537;0.658;0.725;0;8;0.118;-6.121;0;0.0612;136.168;4;0.451
0YiMpoTO3CGOEORRhLjNt2;0.0173;0.461;0.883;0.00276;1;0.069;-5.423;1;0.0584;133.82;4;0.856
52cW6AzyyVOEIdr1lG7qlZ;0.0508;0.62;0.915;0;7;0.0746;-5.144;0;0.137;104.847;4;0.493
