track_id;acousticness;danceability;energy;instrumentalness;key;liveness;loudness;mode;speechness;tempo;time_signature;valence
3O1PNDqmTZGQ7Z0gtsqQ8e;0.1;0.587;0.588;0;7;0.127;-6.376;1;0.0314;147.987;4;0.221
6BWTZwXamKhjdYlicjjVjB;0.249;0.662;0.744;0.000147;6;0.116;-3.194;1;0.0317;97.977;4;0.387
3uXKlBgKfhcPrwetHY6Qaf;0.0901;0.655;0.848;0;7;0.121;-7.665;1;0.11;82.013;4;0.39
30mnIRCDKDm1XccJ1KUPck;0.0585;0.603;0.729;0;8;0.0767;-5.148;1;0.15;87.803;4;0.382
4mOjSj8NWJE7gUaST87hFk;0.44;0.527;0.795;0.000466;10;0.106;-7.345;1;0.0369;83.496;4;0.968
0RT32k5IOVEyKE5UlF3Wm8;0.0122;0.752;0.93;0.0311;6;0.641;-5.285;1;0.065;125.021;4;0.825
0TOq2Mv529HBt0Dfyluc7X;0.0055;0.609;0.598;0;7;0.126;-7.467;1;0.0397;123.884;4;0.244
3nzM0p1iATY47bmotLI4lh;0.0135;0.61;0.829;0;7;0.109;-5.965;1;0.272;110.95;4;0.447
0AjJPUTT9UQPbdpIEfyBsH;0.151;0.701;0.539;0;6;0.0931;-5.272;1;0.031;95.016;4;0.758
6GiawfDamiYImufjpmRjxE;0.104;0.666;0.631;0;8;0.148;-5.748;1;0.12;95.034;4;0.556
3bMNJiswVYuhyicbpzPtfZ;0.000248;0.878;0.914;0.1;6;0.121;-3.277;1;0.0502;128.008;4;0.797
3WbphvawbMZ8FyqDxYGdSQ;0.00457;0.496;0.765;0;7;0.104;-5.66;1;0.033;74.072;4;0.337
7Cmyqi6AWKYEAPg5Q2ejO0;0.536;0.881;0.713;0;6;0.173;-5.586;0;0.203;130.023;4;0.839
6DUpn1TfNm98hpV7H0qFxm;0.0014;0.467;0.791;0;7;0.0922;-6.237;1;0.0459;74.937;4;0.27
2u0SqHvoQ8NxMMXOi69QQH;0.0607;0.665;0.861;0;6;0.0771;-6.264;1;0.0296;123.993;4;0.904
6fD2fKmwk8gRJVqxlihLkq;0.0126;0.829;0.712;0;1;0.0621;-6.359;1;0.0365;120.024;4;0.806
